review,rating,category
"kenapa punya sayah gg sesuay gambar... 
parah...",2,handphone
"Sesuai sama namanya Realme C""3"", harus nunggu 3 hari akhirnya datang juga Alhamdulillah..

Good phone for budget buyer, performance TOP !

*cuman sayang aja belum ada yg versi 4/64",5,handphone
"Tutup kameranya gak pas, jadi menutupi sebagian kamera",2,tablet
"paket tas pesanan saya sudah saya terima, bahan Produk tas Penjualan di toko anda lumayan bagus.

thanks kiriman'nya.....",5,laptop
Barang sesuai pesanan ok punya thks lazada..,5,handphone
"tasnya bagus,tp berasa kecil bner ya😁😁😁",3,tablet
"pengiriman lumayan lama,,,tapi paket sampai dengan selamat...bonus juga lengkap ..terima kasihhh Lazada",5,handphone
"kartu memori saya tidak terbaca, padahal di hp lainnya bisa terbaca",3,handphone
knp sampai sekarang pesanan saya blm sampai juga. ini sudah lewat tanggal estimasi pengiriman,1,tablet
"lmyan bagus, cmn bahan tas ga sesuai Kya yg difoto iklan",3,laptop
"Barang terkirim dengan cepat, Respon lazada over all OK. Tapi packing cuma plastik doang, warna beda sama yg di foto, realnya warna pudar kayak tas bekas, g ada kartu garansi, g ada cover bag,, kualitas barang menentukan kepuasan,, Thanks Lazada",3,laptop
biasa aja sesuai harga dipasaran,3,tablet
"kacau,,maklum hp china namanya jg blm nginstal aplikasi apa apa lemotnya parah,pindah dr menu tlfn ke pesan aja lama nyaaaaa luar biasa,,,mending beli hp seken wkwkwkwk ,kacau kacau kacau",1,handphone
"Sorry, tp buat evaluasi. Tonton sampai habis biar tau rusaknya dimana. padahal baru sampe barangnya.",2,handphone
produk ya tak diragukan lagi bagus dan tdk mengecewakan pokok ya suka dah,5,tablet
"Okay jadi untuk produknya sendiri saya kira tida ada masalah since ini dari LazadaMall, semua tau reputasinya barang dijamin Ori dan sebagainya. Namun demikian izinkan saya mengulas di bagian pelayanannya dan pengirimannya. Untuk pelayanan mungkin bisa lebih fast respond lagi dan lebih jelas dalam menyampaikan info. Terkhusus bagi saya yang cenderung belum familiar menggunakan Lazada butuh penyampaian yang lebih detail terkait teknis transaksi. Terus untuk pengiriman relatif agak lama ya. Dan yang agak fatal adalah kurir tidak langsung menyerahkan barang ke saya dan tida ada konformasi ke saya terkait kepada siapa barang diberikan. Luckily, yang menerima adalah satpam perumahan, padahal tidak jarang banyak orang lain yang standby disana dan bisa jadi barang tidak sampai. Jadi mungkin bisa lebih diperbaiki baik dari merchant maupun Lazadanya karna toh kedua ini saling berkesinambungan kan. Kalo salah satu tidak baik akan mempengaruhi preferensi pembeli dalam memilih merchant/platform.",3,handphone
barang sampai dengan selamat... meskipun pengiriman agak lama,4,handphone
motif kurang suka.,3,tablet
Pengiriman cepat tapi kecewa tidak da kabel USB tdk sesuai dengan gambar,1,laptop
"Yang bener low jualan tuh...dsini item tambahan ada 6 tapi cuma ada 4....gda softcase dn memori cart nya
Gimana tanggung jawab penjual low ky gni",1,handphone
Dengan dimensi sebesar itu ternyata tidak bisa muat begitu banyak karena mungkin memang didesain utk laptop dan tambahan sedikit barang lain,3,laptop
"mantaap barang nyaa mantuul,..mantap betuul",4,handphone
"saran aja gak usah pakai kata superbass biar jujur, karena barangnya gda bassnya smaskali, cempreng bgt",1,handphone
pengiriman nya lama gambar salah saya sangat kecewa bangetttttttt,2,tablet
"dh lma di dtng nya,mw dibatalin dh g bsa,bner ajj barangnya apa adanya sesuai harga x ya,tp g murah2 amat ko tp barangnya sobek dmn2,g bsa buat bawa brng yg berat,ringkih,bhan keras gt,kecewa yg pasti mh",2,laptop
"Barang datang cepat dan sesuai dengan deskripsi, pokoknya puas dengan pelayanan Lazada..",4,laptop
pantek gak sesuai,2,laptop
gak sesuai pesanan,1,tablet
terimakasih lazada packet nya sudah sampai dan kurir nya baik juga,4,tablet
"bintang 4 aja dulu, karna pengiriman nya lama poooll, barang sih bagus bahan tebel pas lah buat anak SMP/SMA . untuk harga segitu worth it lah",4,laptop
kurang memuaskan tempergllas nya kurang bagus retakkk ...,2,tablet
"beli pas flash sale. ongkir 120 ribu. 2 minggu ditunggu, gak nyampe2. tiba2 order dicancel sepihak dengan alasan paketnya hilang. dana dikembalikan dalam bentuk voucher, akhirnya order lagi dengan harga normal (nambah 148 ribu). 1 minggu kemudian barangnya baru nyampe di tangan.

ini pengalaman berbelanja online terburuk.",1,tablet
"Aduh Parah Banget saya sangat sungguh kecewa... Yg pertama Penggiriman sangat lama... terus barang nyh cuma ada 1, 1 lgi nyh mana? kok cuma ngirim 1 jempol doang aduhh... bungkus nyh pas nerima udh sobek duluan aduhhh",1,tablet
mantap brang bagus sesuai pesanan,5,tablet
"Mungkin blm Beruntung Yaa,jdi Cumn dapet jam anak""",2,laptop
akhirnya nyampe.. bonus byk... terimakasih,5,tablet
"sudah lama menunggu
pesanan Hp 4G
Ram 4 Gb
Rom 64 Gb
yg Datang Hpnya 3G
saya Sangat Kecewa
klo cuma Hp 3G
Disini juga Banyak
ga perlu Sampe 650 ribu lebih
300ribuan juga banyak
gimana sic klo Jualan Jangan Nipu Dong",2,handphone
terima kasih barang mendarat dengan aman dan sentosa.. kualitas Bagus.. saya selalu puas beli produknya navy club,5,tablet
"Pengiriman barang tidak sesuai,saya sangat kecewa.",2,tablet
"Paketnya sudah datang, btw sy pesan warna merah tp dikirimnya wrna hitam, ydh gpp sy maklumin, terimakasih",3,tablet
Lmynlah.,2,laptop
TOP BGT....,5,laptop
tidak sesuai dengan yang di tulis di iklannya,2,handphone
